County,Population,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20
Barnstable,"213,690",,,1,1,1,2,2,5,9,11,24,30
Berkshire,"127,328",9,9,9,9,11,14,17,18,20,21,23,26
Bristol,"558,905",,,1,1,2,5,5,6,6,14,24,25
Dukes and Nantucket,"28,414",,,,,,,,,,1,1,1
Essex,"781,024",2,2,5,6,8,8,14,19,29,41,60,73
Franklin,"70,935",,,,,,,1,1,1,2,2,2
Hampden,"469,116",,,0,1,1,1,2,3,3,9,12,15
Hampshire,"161,159",,,,,,,,1,2,2,4,6
Middlesex,"1,595,192",49,60,65,75,83,89,100,119,144,177,199,232
Norfolk,"698,249",24,24,28,31,36,43,45,52,64,69,75,82
Plymouth,"512,135",,,,1,3,5,5,5,11,20,25,32
Suffolk,"791,766",22,26,27,31,36,42,51,72,86,108,126,154
Worcester,"822,280",1,2,2,6,6,8,10,14,19,24,37,42
Unknown,,1,,0,2,10,1,4,13,19,26,34,57
